ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
I19;"Is the use of open data in your country having an impact on issues about housing in urban areas? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.";new question;new question;Change;Yes;"Open data can provide important information on the state of the housing market and homelessness. The ministry for social affairs conducted a study to evaluate the data basis for homelessness to increase evidence-based policy-making: https://www.oeaw.ac.at/isr/wohnen-und-urbane-oekonomie/datenbasis-obdachlosigkeit-wohnungslosigkeit;
Open government data on building type data (year built) and listed protected buidlings are used for a rent-calculation, e. g. https://wiener-mietenrechner.at/; 
Statistik Austria provides data on the whole housing market / census data, including e.g. data on housing problems in different legal relationsships (rent, owner, public housing, etc.), https://statcube.at/statistik.at/ext/statcube/jsf/tableView/tableView.xhtml, or housing costs: https://www.statistik.at/statistiken/bevoelkerung-und-soziales/wohnen/wohnkosten";;;;;;
I20;"Is the use of open data in your country having an impact on the issues of health and wellbeing? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.";new question;new question;Change;Yes;"The recent COVID-19 pandemic led to an increased utilization of open data. 87 applications and visualization were developed on the status of vaccinations, infected, general status and more. Please find the weblinks to all initiatives here (under ""Anwendungen und Visualisierungen"": https://www.data.gv.at/daten/covid-19/";;;;;;
I21;"Is the use of open data in your country having an impact on the society´s level of education and skills (e.g. data literacy)?

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.";new question;new question;Change;No;"o COVID-19 pandemic and general awareness on data
o Education of civil servants concerning the quality of data
o Open data and privacy related questions are of high importance to Austrian ctitizens";;;;;;
I22;"Is any data on the impact created by open data on environmental challenges (e.g. climate change and environmental degradation, as highlighted in the Eurpean Green Deal) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify (1)  what kind of data source proves this impact and (2) provide the URLs to this data.";No;"o Energy industry input data and scenarios as a basis for the Climate Strategy 2020 and the Monitoring Mechanism 2011: https://www.data.gv.at/katalog/dataset/1130286d-d7a3-4320-b7e1-9e2b8f42761e
As a basis for the evaluation and revision of the climate strategy and to fulfil the reporting obligation within the framework of the Monitoring Mechanism on the development of greenhouse gas emissions, the Federal Environment Agency calculated two scenarios up to the year 2030
o Uber Movement: With the Uber Movement platform, travel times on the streets in Vienna can be digitally evaluated and visualized. This enables city planners, authorities and research institutions to gain a sound insight into the city's mobility needs. This allows for better planning of public transport and thus the evasion of traffic for iomproving the environment. The effects of infrastructure measures can be specifically analyzed and evaluated (https://www.data.gv.at/application/uber-movement)

response to reviewers: 
Open data has shown a tangible impact on environmental challenges, particularly in the realms of climate change mitigation and sustainable urban planning:

1. Climate Strategy 2020 Impact: Open datasets related to energy industry input have informed the Climate Strategy 2020. These datasets have contributed to significant policy shifts that aim to reduce greenhouse gas emissions by 2030. As a result, Austria has set forth initiatives to increase energy efficiency and renewable energy usage. Climate Strategy 2020 Dataset: https://www.data.gv.at/katalog/dataset/1130286d-d7a3-4320-b7e1-9e2b8f42761e

2. Uber Movement's Role in Sustainable Urban Planning: The Uber Movement platform has enabled city planners to optimize public transport routes and encourage sustainable modes of transportation. This in turn contributes to lowering greenhouse gas emissions and mitigating air pollution in urban areas. Uber Movement Platform: https://www.data.gv.at/application/uber-movement/

3. Air Quality Monitoring: Open data on air quality, available to the public, has led to increased awareness and advocacy for reducing air pollution. Public pressure and data-driven insights have impacted policy decisions around industrial regulations and vehicle emissions. Air Quality Dataset: https://www.data.gv.at/katalog/dataset/505a4929-6fb4-4dea-b7ea-048b5789ae29

These examples clearly show the impact that open data has had on environmental challenges, from policy formulation to public participation in environmental conservation.";Confirm;;;;;;;;
I23;"Is the use of open data in your country having an impact on the level of protection of biodiversity (e.g. maintaining a good air and water quality)? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.";new question;new question;Change;Yes;The Austrian environmental protection agency is member of the Cooperation OGD Austria. The Agency provides data (https://www.data.gv.at/auftritte/?organisation=umweltbundesamt) and publications (https://www.data.gv.at/auftritte/?organisation=umweltbundesamt&documentFilter[0]=OpenDocument) on data.gv.at. This includes air and water quality data.;;;;;;
I24;"Is the use of open data in your country having an impact on the achievement of more environment-friendly cities (e.g., environment-friendly transport systems, waste management etc.)? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.";new question;new question;Change;Yes;The Austrian environmental protection agency is member of the Cooperation OGD Austria. The Agency provides data (https://www.data.gv.at/auftritte/?organisation=umweltbundesamt) and publications (https://www.data.gv.at/auftritte/?organisation=umweltbundesamt&documentFilter[0]=OpenDocument) on data.gv.at. This includes air and water quality data.;;;;;;
I25;"Is the use of open data in your country having an impact on the fight against climate change, for example by undertaking predictive monitoring, preventive actions, or a differentiated response to connected disasters?

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.";new question;new question;Change;Yes;The Austrian environmental protection agency is member of the Cooperation OGD Austria. The Agency provides data (https://www.data.gv.at/auftritte/?organisation=umweltbundesamt) and publications (https://www.data.gv.at/auftritte/?organisation=umweltbundesamt&documentFilter[0]=OpenDocument) on data.gv.at. This includes air and water quality data.;;;;;;
I26;"Is the use of open data in your country having an impact on the consumption of energy based on fuel and the switch to renewables? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.";new question;new question;Change;Yes;"The Austrian regulatory agency for electricity and gas provides monthly statistics on the electricity, gas and renewable energy production and usage. This is provided in detailed interactive graphics and as raw data. https://www.e-control.at/statistik
This data is utilized as a policy-informing tool for the responsible ministries, that cover energy-related topics. Including data provided by Statistics Austria and the Austrian Power Grid. The data is used in the yearly energy report of the government. 
";;;;;;
I27;"Is any data on the economic impact (e.g. GDP, employment, productivity, innovation,  new businesses created etc.) of open data available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please specify what kind of data source proves this impact and provide the URLs to this data.

";yes;"Open Data is a key resource for the development of the digital economy and knowledge society, in particular for SMEs and startups which are the backbone of Austria's economy. There is an abundance of examples on how the re-use of open data has contributed to innovative solutions.
o In this regard, please see the overview of applications that have been created by using open government data. https://www.data.gv.at/application/";Confirm;;;;;;;;
I28;"Is the use of open data in your country having an impact on the level of employment? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.";new question;new question;Change;Yes;"The autrian employment agency (AMS) is providing monthly statistics on employment data: https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten
The ministry for Labour and Economy is providing a data portal (AMIS) of unemployment, AMS trainings, employment, job market and population statistics. (https://www.dnet.at/bali/Default.aspx)
The employment agency is also hosting a research network on how to utilize the openly availbale statistics (https://www.ams-forschungsnetzwerk.at/deutsch/willkommen.asp?sid=119319869)";;;;;;
I29;"Is the use of open data in your country having an impact on the level of innovation and the adoption of new technologies? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.";new question;new question;Change;Yes;"The project ""Kappazunder"" (https://digitales.wien.gv.at/projekt/kappazunder/) by the City of Vienna is a virtual copy of the entire city. Three dimensional data is being provided as open data. Whether inquiries to the city service, approval procedures or road construction planning -  digital site inspection based on Kappazunder saves time and money and makes processes more effective. The availability of 3D data is having an impact on innovation as it can be used by innovators.";;;;;;
I30;"Is the use of open data in your country having an impact on the level of entrepreneurship (especially of women and minorities) and business creation (especially with Small- and Medium-sized Enterprises)? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.";new question;new question;Change;Yes;Please see the example of the Datahub.tirol (https://www.datahub.tirol/). This initiative supports several dataspaces, in which entrepreneurs and companies can use data and develop use cases or solutions. Hotels and tourism providers e.g. are entrepreneurs and mostly small-sized businesses. The use and sharing of data leads to a better tourism experience. Data analysis, artificial intelligence and advanced technologies play an important role in adapting tourism offers to the constantly changing needs of guests. The Tourism Data Space brings together information from a wide range of sources - from publicly accessible open data to specific surveys conducted by the participating organisations. The sharing of data contributes to a better identification of behavioural patterns, the better understanding of needs, which makes the fine-tuning of touristic offers possible. The use of data contributes to a more sustainable tourism sector. (Tourism Data Space https://www.tourism-dataspace.com/de) Please see some illustrative use cases (https://www.datahub.tirol/use-cases).;;;;;;
I31;"Is the use of open data in your country having an impact on the level of productivity? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain.";new question;new question;Change;No;Datahub.tirol (https://www.datahub.tirol/) is a dataspace that has been created by using open data. One central goal is to improve availaible information and the guest experience for tourists when considering or staying in Tirol. The dataspace has greatly incrased overall efficiency and synergy among various participants in tourism, including tourists, hotels, restaurants, ski lift operators, leisure providers, energy providers and many more. Furthermore, new business models are being developed. Please find a list of use cases here: https://www.datahub.tirol/use-cases. For a highly developed tourism location such as Austria, digitalisation offers great opportunities to increase productivity and precisely target supply and demand. The use of digital data could help to protect sensitive environmental areas by managing visitor flows, increasing productivity and targeting supply to demand.;;;;;;
