ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
PT38;"Does the national portal include datasets that are real-time or dynamic?

For Explanation:
* If yes, please provide URLs to real-time and/or dynamic data featured via the national portal. ";yes;"Yes, there are some examples available:
https://www.govdata.de/web/guest/suchen/-/details/pegelonline
https://www.govdata.de/web/guest/suchen/-/details/aktuellste-10-minutige-stationsmessungen-der-niederschlagshohe-in-deutschland";Complement;Yes;Berlin:but a very few, not many;;;;;;
PT39;"Does the national portal provide a way for non-official data (i.e. not stemming from official sources, such as community-sourced/citizen-generated data) to be published? 

For Explanation:
* If yes, please explain how non-official data is distiguished for offical data (e.g. using a different section of the portal or tags) 
* And please provide a URL to an example of a non-official dataset on the portal ";new question;new question;Change;Yes;"Berlin:citizen based data such as the Radverkehrsdaten from the project ""Berlin zählt Mobilität""

GovData: See answer to question PT7. We can no longer determine which data is official and which is non-official. There is also data that is a product of the combination of official data (cadastral data) and non-official data (OSM).

Example: https://www.govdata.de/web/guest/suchen/-/details/osm-strassen-koln-bonn and https://www.govdata.de/web/guest/suchen/-/details/spw2-alkisosmb7bb8";;;;;;
PT40;"Does the national portal allow users to see what data exists but cannot be made available as open data?

For Explanation:
* If yes, please (1) provide the URL to an example and (2) briefly describe the approach used to ensure this transparency.";no;;Change;Yes;"Berlin: yes, we have monitored the ""Cora datasets of Berlin ""berliner Kerndatensätze: https://odis-berlin.de/projekte/2023-02-kerndatens%C3%A4tze";;;;;;
;2.4 Portal sustainability;;;;;;;;;;;
PT41;"Does the national portal have a strategy to ensure its sustainability?

For Explanation:
* If yes, please (1) provide the URL to this document and (2) describe the main measures to keep the portal running in the long-term and continue to serve its audience";new question;new question;Change;Yes;GovData: After the project launch, the GovData portal became a product of the IT Planungsrat. Funding has been secured via an administrative agreement with all 16 federal states and the federal government. FITKO was founded as a new authority to ensure the long-term operation of all products of the German IT Planungsrats https://www.it-planungsrat.de/fileadmin/beschluesse/2021/Beschluss2021-21_FITKO_Gruendungsbeschluss.pdf When it was founded in 2020, GovData was explicitly mentioned as a product that would be taken over. Legislation stipulates the delivery of data to GovData.;;;;;;
PT42;"Is your national portal active on social media? 

For Explanation:
* If yes, please provide the URL(s) to your social media accounts. ";yes;"Yes, see
https://twitter.com/govdata_de
https://social.bund.de/@opendata";Change;No;Berlin:-Not any more, since Twitter became X;;;;;;
PT43;"Are the portal’s source code and relevant documentation and artefacts made available to the public (e.g. on platforms such as GitHub or GitLab)?

For Explanation:
*If yes, please provide the (1) platform name and (2) the URL to the portal’s account on this platform.";yes;We provide our source code on GitHub: https://github.com/govdataofficial and on Open CoDE (a GitLab hosted by Germany): https://gitlab.opencode.de/fitko/govdata;Complement;Yes;"Berlin: =HYPERLINK(""#""; ""https://github.com/berlinonline "")";;;;;;
PT44;"Do you monitor the characteristics of the data published on the portal, such as the distribution across categories, static vs. real-time data and how these change over time?

For Explanation:
* If yes, please provide the direct-URL to this feature";yes;The Dashboard is using our SHACL Validator (online Version available under: https://www.itb.ec.europa.eu/shacl/dcat-ap.de/upload) and gives the data providers links how to improve their metadata quality and their performance on the national portal.;Change;No;;;;;;;
PT45;"Does this monitoring enable the portal team and/or data providers to take action to improve their performance on the national portal?

For Explanation:
* If yes, please (1) explain how and (2) if applicable provide the direct-URL to this feature.";yes;With the SHACL Validator, data providers receive feedback on metadata quality and broken links in their database. Furthermore, the validator provides information on troubleshooting.;Change;No;;;;;;;
;Dimension 3: Open Data Quality;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
;3.1 Currency and completeness;;;;;;;;;;;
Q1;"Is there a pre-defined approach to ensure that metadata is kept up-to-date?

For Explanation:
* If yes, please briefly describe your approach.";yes;The metadata is subject to a harvesting process continuously, with control of the metadata and automatic scan for duplicates.;Confirm;;;;;;;;
Q2;"What percentage of the metadata on the national portal is obtained from the source automatically, rather than edited manually? 

For Explanation:
* Please describe (1) the workflows you have to automate the harvesting of metadata and (2) for which types of data these apply to";new question;new question;Change;70-89%;"Berlin: harvesting over the Geoportal

90-99%. We have an open data portal for almost every federal state in Germany. The large (but also smaller) cities operate their own open data portal. In addition, there are various thematic data portals, such as for traffic data and geodata. All these data portals are linked together in a large network or tree and harvest each other. At the end is GovData, which harvests almost all of the metadata from sub-portals. Only a small amount of data is entered directly into GovData by hand.";;;;;;
Q3;"What is the average delay from the moment the metadata describing a dataset is updated at the source, and the moment the change is visible on the portal?

For Explanation:
* Please explain the approach for updating metadata in a timely manner";new question;new question;Change;Within one week;"GovData: On average, the metadata is updated after 2 days. If metadata is changed manually directly in the GovData portal, the changes are visible immediately. If a dataset is changed in the geoportal of a city, the city harvests its geoportal, the city may be harvested by the portal of the district, which in turn is harvested by the federal state, which is harvested by GovData. This chain can result in a delay of several days when updating the data.

Follow up: confirmation";;;;;;
Q4;"Do you undertake efforts to ensure that published data covers the full period from when it was first published until today, for example,the complete time series?

For Explanation:
* If yes, please explain the measures in place to ensure complete series of datasets";new question;new question;Change;Yes;"GovData: Until recently, it was not possible to mark up data series in the metadata. Therefore, data series were created as differently as possible in the past. The local sub-portals all have their own strategy for dealing with this. With the introduction of DCAT-AP.de 3.0, an example of a correct data series is planned. Based on this, we could work towards harmonization.

Follow up: Yes the new DCAT-AP.de version make it possible to mark dataset series correctly and unique. Today we do not measure this aspect because there is no standardized way and 4+ ways used to mark dataseries.";;;;;;
Q5;"Have you implemented the DCAT-AP High Value Datasets (semiceu.github.io) tag to denote the High-Value Datasets in your (national) open data portal(s)?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"Berlin: but it is not getting used as the data providers publish from other plattforms such as GENESIS Online, where there is an interface to the Govdata Portal, or they publish over the Geoportal Berlin, where there is an API to the Berlin Open Data Portal, but they do not have to indicate extra on the Berlin Portal, as it gets indicated at the Geoportal 
GovData: 
We are proud to have been the second state to correctly transfer the high-value datasets award to the European data portal. In order to do this successfully, we had to extend CKAN so that HVD data could be imported into a CKAN system and then exported. Our changes have been transferred to the official repo according to the open source rules. For the geodata, we had to adapt the converter of the geo-ISO data. A lengthy coordination process with and within the geo-community was necessary beforehand. Please also refer to the answer to question PT22.";;;;;;
Q6;"Besides the DCAT-AP tag mentioned above, have you implemented any other measures to ensure that high-value datasets ((EU) 2023/138) are interoperable with datasets of other country?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;No;"GovData: In some cases, the specialist communities themselves ensure that the individual data records are compatible. Two specialist areas are cited as examples. The geodata are collected in the federal states and, thanks to established structures, they can be harmonized and offered as a common dataset for the whole of Germany. The INSPIRE specifications mean that the datasets are comparable throughout Europe. The weather data is not only compatible within Europe but is also internationally interoperable thanks to its standardization.

Follow up: The correct answer is still 'no'. INSPIRE and weather data are older than HVD. So we have interoperable datasets but we do no special activities for HVD datasets that there are interoperable with other countries";;;;;;
;3.2 Monitoring and measures;;;;;;;;;;;
Q7;"Do you monitor the quality of the metadata available on your portal?

For Explanation:
* If yes, please briefly explain how this monitoring takes place. 
* If applicable, please provide the URL to this monitoring mechanism.";yes;"Broken links, monitoring of import errors, validation is being transformed according to DCAT-AP.de (https://www.itb.ec.europa.eu/shacl/dcat-ap.de/upload )
We provide a Dashboard, which provides information about the published data. While a trial period the Dashboard is only reachable for registered users.
Please contact us to join via mail at info@govdata.de.";Confirm;;;;;;;;
Q8;"Do you publish information on the quality of the metadata available on the portal?

For Explanation:
* If yes, please provide the URL to this section. ";yes;We provide a Dashboard, which provides information about the published data. While a trial period the Dashboard is only reachable for registered users. Please contact us to join via mail at info@govdata.de.;Complement;Yes;"GovData: We provide a dashboard that provides information about the published data. During a test phase, the dashboard is only accessible to registered users. The underlying data, however, can be accessed openly via our SPAQL interface.

Follow up: https://govdata.de/metadatenqualitaet/qualitaetsmerkmale This URL will be available later this month. We remove the 'accessible to registered user'";;;;;;
Q9;"Do you publish guidelines (e.g. written materials) and have tools in place, to assist publishers in publishing high-quality metadata? 

For Explanation:
* If yes, please (1) briefly describe this material and (2) provide the URLs to these materials and/or tools.";new question;new question;Change;Yes;"Berlin: =HYPERLINK(""#""; ""https://odis-berlin.de/file-download/Vorlage_Metadaten.xlsx "")

GovData: We offer information on this on our information page on the provision of data on GovData https://www.govdata.de/web/guest/datenbereitstellungaufgovdata. There we refer to the self-service tool for testing DCAT-AP.de-compatible metadata. When we connect new data providers to GovData, their endpoint is extensively tested and they receive a written analysis of their metadata quality. In the course of the release of DCAT-AP.de 3.0, we will provide various examples of high-quality metadata.";;;;;;
Q10;"Do you set any standards on metadata quality that data providers must abide by (e.g. on the use of licence, minimum metadata describes, use of certain DCAT-AP properties, etc)

For Explanation:
* If yes, please describe the standards you have in place, i.e. what is minimum information the metadata should describe ";new question;new question;Change;Yes;"Berlin: the Musterdatenkatalog of the Bertelsmann Stiftung

GovData: All data suppliers must provide their metadata in at least DCAT-AP.de 2.0 format. The standard itself contains specifications on the use of licenses, among other things. The conventions manual https://www.dcat-ap.de/def/dcatde/2.0/implRules/ contains 41 conventions that apply to the delivery to GovData.";;;;;;
Q11;"Do your open data publication/licensing guidelines provide recommendations for the use of Creative Commons (CC) licences, specifically CC BY 4.0 and CC0?

For Explanation:
* If yes, is this mandatory (e.g. prescribed by law) or recommended?
* Please provide a URL link to the guidelines";new question;new question;Change;Yes;"in the Open Data Verordnung we recommed mostly open licenses such as CC 0, or at least CC By 4.0

Follow up:
License Guideline on GovData: https://www.govdata.de/web/guest/datenbereitsteller
License guide in DCAT-AP.de: https://www.dcat-ap.de/def/licenses/
The Open Data Verordnung Berlin https://www.berlin.de/sen/wirtschaft/digitalisierung/open-data/verordnung/";;;;;;
Q12;What percentage of the open data available on the national portal is accompanied by licensing information? ;>90%;N/A;Change;51-70%;"GovData: >90%

Follow up: 90+% is correct";;;;;;
Q13;How many different licences are used on your portal?;5-10;N/A;Change;1-4;"GovData: 5-10

Follow up: 5-10 is correct";;;;;;
Q14;"Besides providing guidelines, are there regular activities conducted or mechanisms in place to  assist publishers in supplying high-quality datasets (metadata quality and data quality)?

For Explanation:
* If yes, please explain the support you provide?";new question;new question;Change;No;;;;;;;
;3.3 DCAT-AP Compliance;;;;;;;;;;;
Q15;"Does the national portal follow the DCAT-AP framework or, if not, are standards in place to ensure interoperability with DCAT-AP?

For explanation:
* If the  portal follow the DCAT-AP framework, please describe how compliance with DCAT-AP is ensured
* If the portal does not follow the DCAT-AP framework, please describe how interoperability with DCAT-AP is ensured";new question;new question;Change;Yes;We only harvest datasources in DCAT-AP.de 2.0 or better. If not possible (INSPIRE metadata) we provide and develop own CKAN converter extension. We developed DCAT-AP.de years ago to follow the European DCAT-AP with some Germany extensions;;;;;;
Q16;What is the percentage of metadata on your portal that is DCAT-AP compliant, in terms of mandatory classes? (agent, catalogue, dataset, literal, resource);>90%;;Change;51-70%;Follow up: Thanks for the hint. As described in Q15 we follow the DCAT-AP compliance. There is no decrease. We corrected the answers;;;;;;
Q17;What is the percentage of metadata on your portal that uses DCAT-AP recommended classes? (category, category scheme, distribution, licence document);>90%;;Change;51-70%;Follow up: Thanks for the hint. As described in Q15 we follow the DCAT-AP compliance. There is no decrease. We corrected the answers;;;;;;
Q18;What is the percentage of metadata on your portal that uses DCAT-AP optional classes? (catalogue record, checksum, document, frequency);71-90%;;Change;31-50%;Follow up: Thanks for the hint. As described in Q15 we follow the DCAT-AP compliance. There is no decrease. We corrected the answers;;;;;;
Q19;"Is there a national extension of the DCAT-AP standard developed for your country? 

For Explanation:
* If yes, please (1) briefly outline the reasons for this decision, and (2) what the main differences between the national variation and the EU standard are.
* If applicable, please provide the URL to the documentation of the national DCAT-AP extension.";yes;"DCAT-AP.de is only complement to DCAT-AP, so it is completely conforming to DCAT-AP. The complement to DCAT-AP are necessary to depict German peculiarities.
https://www.dcat-ap.de/ // R2: For an exact explanation, we would have to answer the question separately.

In short, there are two legally different approaches between the CC BY 4.0 licence and the German data licence. CC BY focuses on material property law, while the German variant classifies the licensing of (official) datasets as a dedication/administrative act. This results in a different legal assessment. In addition, there are aspects from the regulations in Germany regarding general terms and conditions (GTC) in the context of civil law.

So there is a subtle legal distinction behind the data licence - a ""German peculiarity"". :-)

Nevertheless, the necessity of a national licence is currently being discussed and possibly reassessed in future.";Complement;;Follow up: Thanks for the hint. We still have a national extension. We will release the new DCAT-AP.de 3.0 in December 2024;;;;;;
Q20;"Do you investigate the most common causes for the lack of DCAT-AP compliance?

For Explanation:
* If yes, what are the main causes for the lack of DCAT-AP compliance?";new question;new question;Change;No;GovData: No. The investigation and improvement of metadata quality is on our to-do list.;;;;;;
Q21;What is the percentage of datasets whose metadata provides a reference to where the data can be downloaded, or its API accessed (“download-URL” in the DCAT-AP specification)?;31-50%;N/A;Confirm;31-50%;GovData: '31-50%;;;;;;
Q22;What is the percentage of datasets whose metadata provides a reference to a web page from where the data can be accessed (“access-URL in the DCAT-AP specification)?;>90%;N/A;Change;51-70%;"GovData: '>90%

Follow up: Thanks for the hint. We corrected the answer to 90+%";;;;;;
;3.4 Deployment quality and linked data;;;;;;;;;;;
Q23;"Do you use a model (such as the 5-Star Open Data or FAIR) to assess the quality of deployment of data in your country?

For Explanation:
* If yes, please briefly describe.";yes;The Fair Principles are an central part of the quality check in the portal's dashboard.;Complement;Yes;Berlin: for finance data and for the organigramm tool;;;;;;
Q24;"Do you conduct activities to promote and familiarise data providers with ways to ensure higher quality data?

For Explanation:
* If yes, please briefly describe.";yes;Since 2021 we have the dashboard for quality control. The data providers themselves have the possibility to check their metadata quality there. Furthermore, extracts are regularly sent to the data providers with the most important quality parameters.;Complement;Yes;Berlin: Barcamp Linked Open Data;;;;;;
Q25;What percentage of datasets are made available under an open licence? ;>90%;N/A;Confirm;>90%;N/A;;;;;;
Q26;What percentage of licences are provided in a structured data format?;>90%;N/A;Confirm;>90%;N/A;;;;;;
Q27;What percentage of datasets are provided in an open and machine-readable format?;71-90%;N/A;Confirm;71-90%;N/A;;;;;;
Q28;What percentage of datasets consistely use Uniform Resource Identifiers?;51-70%;N/A;Confirm;51-70%;N/A;;;;;;
Q29;What percentage of datasets link to other renowned sources to provide additional context for the users, e.g. in a linked data fashion?;31-50%;N/A;Confirm;31-50%;N/A;;;;;;
;Dimension 4: Open Data Impact;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
;4.1. Strategic awareness;;;;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"Although there is no single definition, § 12a (6) EGovG regulates the re-use of open data as follows:

""The retrieval of data pursuant to the first sentence of (1) [(= § 12a (1) contains the obligation for publishing open data by federal authorities)] shall be made possible free of charge and for the unrestricted re-use of the data by any person. Retrieval of data pursuant to the first sentence of (1) should be possible at any time, without mandatory registration and without justification.""

Furthermore the open data strategy defines as follows:
""When is open government data for the purposes of this [open data]strategy?
- Authorities have collected the data themselves or have them collected by third parties;
- freely accessible on public networks,
- machine-readable,
- non-personal
- freely usable,
- No safety-related information.""";Confirm;;;;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"Yes, there are various methods for estimating the re-use of open data. They include the collection, tracking and publication of use cases and other monitoring mechanisms, such as:

- National level: Examples for data usage are collected via open government networking and made public as articles as well as on the CCOD website: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Use_Cases/use_cases_node.html
- The usage of CODE-DE is extensively measured and regularly evaluated.
- Regular INSPIRE-Monitoring by GDI-DE, Germany's geodata infrastructure. 

- Regional/local:
- Berlin (State): we do publish the applications that are generated by Open Data of Berlin on our Open Data Portal: https://daten.berlin.de/anwendungen
- In the state of NRW, data owners/providers and IT-Service Providers monitor downloads and Service-Use as internal data.";Change;Yes;"Berlin: Yes, there are various methods for estimating the re-use of open data. They include the collection, tracking and publication of use cases and other monitoring mechanisms, such as:

- National level: Examples for data usage are collected via open government networking and made public as articles as well as on the CCOD website: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Use_Cases/use_cases_node.html
- The usage of CODE-DE is extensively measured and regularly evaluated.
- Regular INSPIRE-Monitoring by GDI-DE, Germany's geodata infrastructure.
- The showroom of GovData also shows some application examples: https://www.govdata.de/web/guest/showroom 

- Regional/local:
- Berlin (State): we do publish the applications that are generated by Open Data of Berlin on our Open Data Portal: https://daten.berlin.de/anwendungen
- In the state of NRW, data owners/providers and IT-Service Providers monitor downloads and Service-Use as internal data.

Hamburg:
-The governmental impact is hereby defined as the beneficial effect of the use of open data on three specific challenges faced by the government/public administrations: 1) Being efficient and effective in delivering public services; 2) Being transparent and accountable in their actions; 3) Improving their capacity to make decisions and policies.";;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer.";yes;"Berlin University Alliance promotes in objective 3, the monitoring of Open Data practices (https://www.berlin-university-alliance.de/en/commitments/research-quality/index.html)

Examples at regional level:
Berlin (State): we have our project database, where we monitor the reuse of the own published data and make it popular with our social media activities or press releases:
1) offene Haushaltsdaten: https://odis-berlin.de/projekte/haushaltsdaten/
2) Organigramm-Tool: https://odis-berlin.de/projekte/organigramme/
3) Wahlbezirke-Editor: https://odis-berlin.de/projekte/wahlbezirke/";Complement;Yes;"Bavaria:
- Collection of use cases with open data at https://oc.bydata.de/using/usecases

North Rhine-Westphalia: Reuse cases are pulblished in a showroom (https://open.nrw/open-data/open-data-showroom.";;;;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;No;;;;;;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"Yes, but there is no one-size-fits-all definition of the impact of open data in Germany (which would, due to the constitutional division between federal level (Bund) and regional level (Länder) as mentioned above, hardly be applicable to Germany): most public bodies and institutions dealing with open data have delineated what the impact of open data (can) entail from their perspective.
- For instance, the overall impact of open data is described in the Data Stategy (see here https://www.bundesregierung.de/resource/blob/992814/1845634/f073096a398e59573c7526feaadd43c4/datenstrategie-der-bundesregierung-download-bpa-data.pdf?download=1.
- The Open data Strategy also contains a broad definition of the objectives and impacts of open data (page 5, 6), see URL: https://www.bundesregierung.de/resource/blob/992814/1940386/1d269a2ad1b6346fcf60663bdea9c9f8/2021-07-07-open-data-strategie-data.pdf?download=1
- Open data is a key aspect of the mFUND funding program. Innovation projects are supported financially that make their project results and research data available as open data at the latest after the project has ended. BMVI's open data portal mCLOUD (https://mcloud.de/) is the primary repository for the publication of open data for mFUND projects. The scope of the planned open data provision already plays a decisive role in the assessment of the submitted project proposals.
- A number of federal agencies have implented Open Data in all data relevant processes and in their strategic orientation (change management), e.g. BAW, BSH, DWD.
- The study  ""Kommunales Open Government. Gebrauchsanleitung für eine Utopie"" published by the  Ministry of the Interior, Building and Community moreover presents several concrete expectations of positive impact thanks to open government data (URL: https://www.bmi.bund.de/SharedDocs/downloads/DE/veroeffentlichungen/themen/moderne-verwaltung/leitfaden-modellkommune-open-govt.pdf?__blob=publicationFile&v=1) 
-  In the course of the Ministry's project ""Modellkomune Open Government"", eight impact dimensions of openness and nine expected impacts for public bodies were identified (see pp. 61 & p. 65, URL:  https://www.bmi.bund.de/SharedDocs/downloads/DE/veroeffentlichungen/themen/moderne-verwaltung/projektbericht-modellkommune-open-government.pdf?__blob=publicationFile&v=2)
- The study ""Digitales Gold"" from Berlin's ""Technologiestiftung"" outlines concrete impacts in different fields of open data application (URL: https://www.technologiestiftung-berlin.de/fileadmin/Redaktion/PDFs/Bibliothek/Studien/2014/140201_Studie_Digitales_Gold_Open_Data.pdf)";Complement;Yes;"Berlin: Yes, but there is no one-size-fits-all definition of the impact of open data in Germany (which would, due to the constitutional division between federal level and regional level hardly be applicable to Germany): most public bodies and institutions dealing with open data have delineated what the impact of open data (can) entail from their perspective.
- For instance, the overall impact of open data is described in the new Data Stategy of 2023 ""Progress through data use"", see here: https://bmdv.bund.de/SharedDocs/DE/Anlage/K/nationale-datenstrategie.pdf?__blob=publicationFile
- The Open data Strategy also contains a broad definition of the objectives and impacts of open data (page 5, 6), see URL: https://www.bundesregierung.de/resource/blob/992814/1940386/1d269a2ad1b6346fcf60663bdea9c9f8/2021-07-07-open-data-strategie-data.pdf?download=1";;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;"As impact is defined in different ways (see Q33 above), there are different methodologies used on the national, regional, local and project-level. 
- On the national level, the implementation and corresponding impact of the open data law is measured through an online questionnaire and writing of a bi-annual ""Fortschrittsbericht"" (Progress report). See the first one and also the results of the mearung here: https://dip21.bundestag.de/dip21/btd/19/141/1914140.pdf
*(the second report is currently being prepared).
- The State (Land) NRW has developed a through evaluation for its overall open government strategy, which includes measuring its open-data-goals and the associated impact (URL: 
https://www-open-nrw.prod-drupal.nrw.de/system/files/media/document/file/opennrwt1web.pdf) 
- The project ""Modellkomune Open Government"" published an accompanying guidebook that specifies ""expectations"" associated with openness and concrete steps to achieve them. These are at the same time the basis for impact evaluation (URL: https://open-government-kommunen.de/goto.php?target=file_425_download&client_id=civitalis) 
- the Open Data Impact Award of the Stifterverband suggests that ""impact"" of open data in research means that the data has successfully been implemented in another societal field (creating an added value for society, openly available for a large number of users) (URL: https://www.stifterverband.org/innosci/open-data-impact-award)

Finally: in its coalition agreement from 2021, the Federal Government stipulated the establishment of an independent data institute in Germany. One task of this institution will be in future to develop further methods.";Complement;Yes;"Berlin: As impact is defined in different ways, there are different methodologies used on the national level:
- On the national level, the implementation and corresponding impact of the open data law is measured through an online questionnaire and writing of a bi-annual ""Fortschrittsbericht"" (Progress report). See the first one and also the results of the mearung here: https://dip21.bundestag.de/dip21/btd/19/141/1914140.pdf
*(the second report is currently being prepared for 2024).

Finally: in its coalition agreement from 2021, the Federal Government stipulated the establishment of an independent Data Institute in Germany. One task of this institution will be in future to develop further methods.";;;;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"Yes, see some examples below:
- the FU Berlin Open Acccess Initiative: https://www.fu-berlin.de/sites/open_access/akteure/oa-policy

- there is funding and other activities to promote research data management with the goal to make this high quality data accessible through the FAIR-principles for the benefit of science, business and civil society.

- In the mFUND program there are a number of projects that emerge from civil society engagement. One example is the project miki (""mobil im Kiez"", https://www.bmvi.de/SharedDocs/DE/Artikel/DG/mfund-projekte/miki.html), that aims to develop solutions for the navigation and orientation of people with reduced mobility under participation of civil society engagement. In total there are 15 mFUND-projects under participation of civil society organizations that use open data and/ or create open data.

- OParl is an initiative to promote the openness of parliamentary information systems at municipal level in Germany, see: https://oparl.org/

- There are currently 34 so called ""OK Labs"" all over germany which operate under the leadership of Code for Germany. These Labs work with open data on a daily basis and create several projects, applications and use cases. See an overview of the labs here:
https://www.codefor.de/; https://www.codefor.de/about/
An overview of the projects the labs are working on: https://www.codefor.de/projekte/
Some example websites of a few labs:
https://www.codefor.de/berlin/
https://www.codefor.de/ruhrgebiet/
https://www.codefor.de/niederrhein/
https://www.codefor.de/bonn/
https://www.codefor.de/koeln/
https://www.codefor.de/muenchen/

Response to R1: Select another link that should fit better. The FU has an open access strategy.

Extract from the Preamble: The Free University of Berlin is committed to promoting open access and attaches great importance to the high quality of scientific publications in compliance with all technical standards. It actively participates in relevant open access initiatives and is committed in particular to the objectives of the Open Access Strategy for Berlin (Land).";Change;No;;;;;;;
;4.2 Measuring reuse;;;;;;;;;;;
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";yes;N/A;Confirm;Yes;N/A;;;;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;;;;
I8-a;Automated feedback mechanisms tracking users´ access to datasets;new question;new question;Change;Yes;"BMEL:
Dataportals within the responsibility of the Federal Ministry for Food and Agriculture, e.g. https://www.openagrar.de or https://atlas.thuenen.de count the access to datasets. However, there is no tracking of usage of the data. In some instances, for specific open data sets, users need to register: Example: The public use file of the BfR Total Diet Study ""MEAL"" is available on the BfR website. User access is registered through registration:
http://www.bfr-meal-studie.de/de/public-use-file.html

BMG:
We upload our data to the Zenodo platform und monitor the usage of the datasets we uploaded to the Zenodo platform

North Rhine Westphalia: a call-to-action on every dataset with an underliying form on the open data-portal open.nrw encourages to feedback data reuse (https://open.nrw/formular-anwendungsbeispiele)";;;;;;
I8-b;Surveys;new question;new question;Change;Yes;"BMEL:
Already published but older than a year examples from FAIRagro consortium (a consortium in which many agencies under responsibility of the Federal Ministry for Food and Agriculture participate):
1 - Senft M, Stahl U, Svoboda N (2022) Research data management in agricultural sciences in Germany: We are not yet where we want to be. PLoS ONE 17(9): e0274677. https://doi.org/10.1371/journal.pone.0274677
2 - Senft, M., Stahl, U., & Svoboda, N. (2021). Dataset: survey about research data management in agricultural sciences in Germany [Data set]. OpenAgrar Repository. https://doi.org/10.5073/20211013-105447
Already published but older than a year examples from NFDI4Health:
Bericht zum 1. NFDI4Health User Survey : Status-quo-Erhebung 2021, https://doi.org/10.4126/FRL01-006461780

North Rhine-Westphalia: Regular monitoring on key figures such as views and downloads of datasets 

Berlin: Meinberlin.de Online Survey

Schleswig-Holstein:
During the evaluation of the open data legistation and the open data portal a survey for the users of the open data portal has been conducted. We are still waiting for the results.";;;;;;
I8-c;Interviews/workshops with reusers;new question;new question;Change;Yes;"Berlin: Workshops such as the AG Open Data

Schleswig-Holstein:
We organised three ""data dialogues"", for researchers, for the eocnomy and for the civil society. In these workshops we collected needs and wishes from the three different groups.

Bavaria: 2 workshop on usage of open data by civil society and start-ups in Bavaria during Open Data Day Munich";;;;;;
I8-d;Other;new question;new question;Change;Yes;"Berlin: stakeholder workshops of the open data strategy

BMG:
We use Github Issues to interact with the community and answer to questions and get feedback frpm our community";;;;;;
I9;"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.";Yes;N/A;Change;Yes;N/A;;;;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;;;;
I9-a;Regular feedback sessions with portal users ;new question;new question;Change;Yes;"Schleswig-Holstein: 
We have a lively digital barcamp scene. We try to offer  annual sessions on the topic of open data in all major cities. In these sessions, we collect needs and wishes.

BMG:
We hold regular workshops and seminars to further develop our products in line with demand.

Bavaria: Continuing moderated usability tests with users on the portal

BMDV:
Mobility Data Space and Mobilithek use feedback measures with portal users.";;;;;;
I9-b;Social media sentiment analysis ;new question;new question;Change;Yes;N/A;;;;;;
I9-c;Other;new question;new question;Change;Yes;N/A;;;;;;
